time,x,y,vx,vy
0,-0.0148373,0.169433,-0.000145466,0.000173152
0.00106115,-0.0139937,0.169903,0.162823,0.090493
0.00266928,-0.00856287,0.172915,0.5793,0.321311
0.00436578,0.00471465,0.180276,1.14064,0.632417
0.00611658,0.0276496,0.19299,1.7382,0.963597
0.00792646,0.0606043,0.211256,2.26333,1.25464
0.00981644,0.102492,0.234474,2.6074,1.44534
0.0118304,0.150779,0.261238,2.66174,1.47547
0.014068,0.20148,0.289341,2.31773,1.28484
0.016837,0.249163,0.315771,1.46672,0.813221
0.022497,0.286949,0.336716,5.32415e-05,0.00040928
0.023497,0.287519,0.337001,0.110044,0.0545019
0.0251046,0.291186,0.338808,0.391133,0.19274
0.0268009,0.300149,0.34322,0.769992,0.379063
0.0285515,0.31563,0.350837,1.17329,0.577411
0.0303613,0.337873,0.36178,1.52771,0.751723
0.0322512,0.366146,0.375688,1.75991,0.865941
0.034265,0.398736,0.391721,1.79658,0.884004
0.0365025,0.432956,0.408555,1.56438,0.769851
0.0392712,0.465139,0.424388,0.989983,0.487423
0.0449285,0.490642,0.436937,6.51331e-05,0.000659916
0.0460667,0.491471,0.437589,0.159848,0.125274
0.0476743,0.496798,0.44175,0.568184,0.443732
0.0493705,0.509818,0.45191,1.11855,0.872962
0.0511211,0.532306,0.469455,1.70442,1.32989
0.0529308,0.564619,0.494662,2.21928,1.73144
0.0548207,0.60569,0.526699,2.55661,1.99454
0.0568345,0.653034,0.56363,2.60988,2.03612
0.0590719,0.702745,0.602407,2.27257,1.77311
0.0618406,0.749498,0.638877,1.43816,1.12242
0.067498,0.786545,0.667779,0.000132848,0.000986801
0.068498,0.787124,0.66803,0.11152,0.0474872
0.0701051,0.790838,0.66959,0.396177,0.166321
0.0718011,0.799916,0.673389,0.779845,0.326489
0.0735516,0.815594,0.679943,1.18826,0.496988
0.0753612,0.83812,0.689356,1.54718,0.646819
0.077251,0.866752,0.701318,1.78232,0.744981
0.0792647,0.899757,0.715106,1.81944,0.760473
0.081502,0.934412,0.729582,1.58428,0.662294
0.0842705,0.967004,0.743197,1.00257,0.419444
0.0899258,0.99283,0.753987,5.83267e-05,0.000921536
0.0909573,0.993663,0.75442,0.160642,0.0825088
0.0925648,0.999016,0.757149,0.571021,0.291009
0.094261,1.0121,0.763806,1.12414,0.572029
0.0960116,1.0347,0.775297,1.71295,0.871177
0.0978213,1.06718,0.791805,2.23038,1.13406
0.0997111,1.10845,0.812785,2.56939,1.30628
0.101725,1.15603,0.836968,2.62292,1.33346
0.103962,1.20599,0.862359,2.28391,1.16119
0.106731,1.25298,0.886238,1.44531,0.73509
0.112389,1.29021,0.905162,6.51074e-05,0.000759489
0.113389,1.29076,0.905127,0.105489,-0.00738264
0.114997,1.29427,0.904864,0.374904,-0.0281923
0.116694,1.30286,0.904208,0.738029,-0.0562442
0.118444,1.3177,0.903069,1.12458,-0.0861134
0.120254,1.33902,0.90143,1.46427,-0.112375
0.122144,1.36612,0.899344,1.68682,-0.129603
0.124158,1.39736,0.896937,1.72194,-0.132372
0.126396,1.43016,0.894409,1.49936,-0.115259
0.129165,1.461,0.892031,0.948784,-0.0728363
0.134825,1.48544,0.890146,-6.67202e-05,0.000319742
0.135825,1.48627,0.890145,0.159094,-0.000513808
0.137433,1.49157,0.89012,0.56584,-0.00264544
0.139129,1.50454,0.890056,1.11406,-0.00552161
0.14088,1.52694,0.889941,1.69765,-0.00858881
0.14269,1.55913,0.889776,2.2105,-0.0112935
0.14458,1.60004,0.889564,2.54651,-0.0130821
0.146594,1.64719,0.889319,2.59956,-0.0134012
0.148832,1.69671,0.889061,2.26355,-0.0116971
0.151601,1.74328,0.888818,1.43238,-0.00741642
0.157262,1.78018,0.888624,-7.82524e-05,-5.55735e-06
0.158262,1.7807,0.888312,0.0996916,-0.0601489
0.159871,1.78402,0.886307,0.354659,-0.21385
0.161567,1.79215,0.881407,0.698309,-0.421016
0.163318,1.80619,0.872942,1.06413,-0.641552
0.165128,1.82637,0.860779,1.3856,-0.835365
0.167018,1.85201,0.84532,1.59622,-0.962363
0.169032,1.88157,0.827498,1.62946,-0.98245
0.171269,1.91261,0.808785,1.41882,-0.855535
0.174038,1.9418,0.791185,0.897773,-0.541522
0.179698,1.96493,0.777237,-0.000185335,-0.000319817
0.180698,1.96561,0.777015,0.131482,-0.0424573
0.182306,1.97,0.775608,0.467967,-0.150143
0.184003,1.98072,0.772171,0.92149,-0.295286
0.185754,1.99925,0.766237,1.40428,-0.449797
0.187564,2.02588,0.757713,1.82855,-0.585586
0.189454,2.05972,0.746878,2.10652,-0.674561
0.191468,2.09873,0.734389,2.15043,-0.688634
0.193705,2.13969,0.721275,1.87249,-0.599712
0.196474,2.17821,0.708941,1.18492,-0.379707
0.202133,2.20874,0.699166,-4.58835e-05,-0.000528182
0.203271,2.20962,0.698549,0.168582,-0.11863
0.204879,2.21524,0.694607,0.599521,-0.420447
0.206576,2.22898,0.684978,1.18035,-0.827248
0.208326,2.25271,0.668351,1.79866,-1.2603
0.210136,2.28681,0.644462,2.34203,-1.64087
0.212026,2.33015,0.6141,2.69804,-1.89022
0.21404,2.38012,0.5791,2.75427,-1.92963
0.216277,2.43258,0.542351,2.39831,-1.68036
0.219046,2.48192,0.507787,1.51773,-1.06368
0.224704,2.52102,0.480396,0.00013168,-0.00085192
0.225704,2.52161,0.479923,0.11452,-0.0904545
0.227311,2.52543,0.476928,0.406846,-0.31944
0.229007,2.53475,0.469618,0.80085,-0.628073
0.230758,2.55085,0.456999,1.22027,-0.956621
0.232567,2.57398,0.43887,1.58886,-1.24535
0.234457,2.60338,0.41583,1.83034,-1.43452
0.236471,2.63728,0.389272,1.86846,-1.46441
0.238708,2.67287,0.361387,1.62696,-1.27528
0.241476,2.70634,0.33516,1.02959,-0.807386
0.247132,2.73286,0.314375,7.51436e-05,-0.00100584
0.24827,2.73372,0.313582,0.166856,-0.152056
0.249877,2.73928,0.308537,0.593074,-0.538074
0.251573,2.75287,0.296219,1.16754,-1.05836
0.253324,2.77635,0.27495,1.77907,-1.61222
0.255134,2.81008,0.244394,2.31648,-2.09894
0.257023,2.85295,0.205558,2.66857,-2.41784
0.259037,2.90236,0.160792,2.72417,-2.46821
0.261275,2.95425,0.113788,2.37208,-2.14935
0.264043,3.00305,0.0695801,1.50112,-1.36057
0.2697,3.04172,0.0345471,9.34254e-05,-0.0011563
0.2707,3.04227,0.0340657,0.106261,-0.0917763
0.272307,3.04581,0.0310334,0.377578,-0.32336
0.274003,3.05446,0.023638,0.743265,-0.635495
0.275753,3.06941,0.0108726,1.13254,-0.967765
0.277563,3.09088,-0.00746429,1.47463,-1.25976
0.279452,3.11817,-0.0307684,1.69876,-1.45106
0.281466,3.14962,-0.0576301,1.73413,-1.48126
0.283703,3.18265,-0.0858341,1.50999,-1.28993
0.286471,3.21372,-0.11236,0.955536,-0.816679
0.292126,3.23833,-0.133381,1.60805e-06,-0.00107616
0.293263,3.23921,-0.13416,0.169558,-0.149177
0.294871,3.24486,-0.139107,0.602869,-0.527657
0.296567,3.25868,-0.151185,1.1869,-1.03778
0.298317,3.28254,-0.17204,1.80861,-1.58082
0.300127,3.31683,-0.202,2.35496,-2.05803
0.302017,3.36041,-0.240078,2.71292,-2.37069
0.304031,3.41065,-0.28397,2.76945,-2.42006
0.306268,3.46341,-0.330057,2.41152,-2.1074
0.309037,3.51302,-0.373401,1.52608,-1.33398
0.314694,3.55233,-0.407749,9.86334e-05,-0.00107667
0.315694,3.5529,-0.408129,0.110616,-0.0722299
0.317301,3.55659,-0.410511,0.393048,-0.254065
0.318997,3.5656,-0.41632,0.773718,-0.499145
0.320747,3.58115,-0.426345,1.17895,-0.760034
0.322557,3.6035,-0.440744,1.53506,-0.989294
0.324446,3.63191,-0.459043,1.76837,-1.13949
0.32646,3.66466,-0.480136,1.8052,-1.16318
0.328697,3.69904,-0.502282,1.57189,-1.01294
0.331466,3.73138,-0.52311,0.994738,-0.641313
0.337121,3.757,-0.539616,7.88236e-05,-0.000878614
0.338259,3.75789,-0.540223,0.170624,-0.116361
0.339866,3.76357,-0.544082,0.606463,-0.411482
0.341563,3.77747,-0.5535,1.1939,-0.809253
0.343313,3.80147,-0.569762,1.81924,-1.23269
0.345123,3.83596,-0.593124,2.36878,-1.60479
0.347013,3.8798,-0.622816,2.72882,-1.84858
0.349026,3.93033,-0.657041,2.78569,-1.88706
0.351264,3.98339,-0.692977,2.42566,-1.64325
0.354033,4.03329,-0.726774,1.53505,-1.04015
0.359691,4.07284,-0.753557,0.000170161,-0.000780641
0.360691,4.07355,-0.753718,0.138313,-0.03036
0.362298,4.07816,-0.754712,0.491342,-0.105951
0.363994,4.08942,-0.75713,0.967164,-0.207831
0.365745,4.10886,-0.7613,1.47368,-0.316279
0.367555,4.1368,-0.76729,1.9188,-0.411574
0.369445,4.17231,-0.7749,2.21042,-0.473995
0.371458,4.21324,-0.783671,2.25645,-0.483819
0.373696,4.25622,-0.79288,1.96479,-0.421326
0.376465,4.29664,-0.80154,1.24335,-0.266794
0.382123,4.32867,-0.808403,2.71443e-05,-0.000500937
0.383123,4.32919,-0.808738,0.0998644,-0.0642013
0.384731,4.33251,-0.810866,0.355003,-0.22699
0.386427,4.34065,-0.816062,0.698884,-0.4464
0.388178,4.3547,-0.825032,1.06495,-0.679962
0.389988,4.37489,-0.837918,1.38664,-0.885209
0.391877,4.40055,-0.854296,1.59739,-1.01967
0.393891,4.43013,-0.873175,1.63065,-1.04088
0.396129,4.46119,-0.892997,1.41985,-0.906374
0.398898,4.4904,-0.911639,0.898438,-0.573678
0.404557,4.51355,-0.926411,-0.000145294,-0.000324955
0.405557,4.51438,-0.926268,0.160177,0.0278942
0.407165,4.51972,-0.925331,0.569891,0.100011
0.408862,4.53278,-0.923034,1.12212,0.197216
0.410612,4.55535,-0.919066,1.70997,0.300697
0.412422,4.58777,-0.913362,2.22657,0.391645
0.414312,4.62897,-0.906111,2.56503,0.451249
0.416326,4.67647,-0.897752,2.61848,0.460699
0.418564,4.72635,-0.888974,2.28003,0.401184
0.421333,4.77326,-0.880718,1.4428,0.253893
0.426995,4.81043,-0.874175,-8.62171e-05,1.589e-05
0.427995,4.81097,-0.87419,0.104443,-0.00284748
0.429603,4.81446,-0.874285,0.371572,-0.0101641
0.4313,4.82297,-0.874518,0.731615,-0.0200236
0.433051,4.83768,-0.874921,1.11489,-0.0305157
0.434861,4.85882,-0.8755,1.4517,-0.0397302
0.436751,4.88569,-0.876235,1.67236,-0.0457567
0.438765,4.91666,-0.877083,1.7072,-0.0466849
0.441002,4.94918,-0.877972,1.48651,-0.0406046
0.443771,4.97976,-0.878808,0.940626,-0.0256054
0.449432,5.00399,-0.87947,-0.00015442,0.00022294
0.450435,5.00479,-0.879036,0.155005,0.0834717
0.452043,5.00997,-0.876258,0.551525,0.29622
0.453739,5.02261,-0.869473,1.08597,0.582971
0.45549,5.04444,-0.857754,1.65489,0.888227
0.4573,5.07582,-0.840917,2.15485,1.15649
0.45919,5.1157,-0.819516,2.48241,1.33227
0.461204,5.16167,-0.794846,2.53413,1.36006
0.463442,5.20994,-0.768943,2.20658,1.18437
