x,y,z,vx,vy,vz,ax,ay,az,rx,ry,rz,vrx,vry,vrz,arx,ary,arz
-0.326843,-0.465967,0.52716,-0.0149769,0.0123064,-0.074239,-0.0114075,0.663718,0.291529,3.01597,-0.49872,-1.77286,0.658187,-0.495851,-0.11621,-4.81657,-7.56431,1.23896
-0.326652,-0.469563,0.529247,-0.0053099,-0.0643656,0.00530268,0.0792987,-0.149545,0.988381,2.99501,-0.461726,-1.74214,-0.131486,0.419299,0.639809,-11.4264,2.07235,8.07823
-0.325723,-0.471665,0.532894,0.0167819,-0.0832401,0.0914556,0.253587,-0.294484,1.57705,2.95944,-0.426208,-1.71588,-0.964034,0.981304,1.04571,-16.8547,6.57231,10.4133
-0.324624,-0.473857,0.53506,0.0349329,-0.097815,0.120598,0.361514,-0.375878,1.60492,2.93276,-0.393309,-1.69112,-1.35112,1.30257,1.29172,-17.7314,8.30737,11.0265
-0.323644,-0.476578,0.53541,0.0454604,-0.119349,0.109028,0.395548,-0.492122,1.34102,2.91454,-0.343282,-1.67084,-1.47921,1.85911,1.39664,-16.6245,11.4061,10.5332
-0.322623,-0.479908,0.535373,0.0544056,-0.148037,0.0976853,0.413888,-0.634968,1.12451,2.89539,-0.272177,-1.65617,-1.62091,2.66591,1.40544,-15.8034,15.6243,9.48897
-0.321494,-0.484286,0.53617,0.0637597,-0.189308,0.106563,0.431588,-0.829916,1.06187,2.87128,-0.192782,-1.63519,-1.84575,3.45776,1.54679,-15.5864,19.0531,9.38314
-0.320075,-0.489735,0.538334,0.0761783,-0.239561,0.135724,0.463176,-1.04409,1.11765,2.84021,-0.11639,-1.60246,-2.14802,4.07079,1.84743,-15.7703,20.8617,10.15
-0.318455,-0.49577,0.540635,0.089354,-0.288399,0.158659,0.493393,-1.21712,1.12733,2.81029,-0.0399481,-1.56425,-2.36115,4.58063,2.14817,-15.3735,21.7326,10.7737
-0.31657,-0.501193,0.54204,0.103753,-0.318584,0.160308,0.524117,-1.26902,1.02363,2.78512,0.0400453,-1.53234,-2.43043,5.03527,2.27102,-14.2278,22.1031,10.4028
-0.314885,-0.505067,0.541935,0.112412,-0.321503,0.136307,0.522362,-1.17746,0.808708,2.77045,0.113642,-1.51409,-2.29456,5.29707,2.15671,-12.2197,21.4444,8.9269
-0.313818,-0.507089,0.54094,0.110773,-0.298931,0.100627,0.471255,-0.971498,0.566735,2.77002,0.163111,-1.5115,-1.95015,5.16741,1.83625,-9.50905,19.0005,6.66529
-0.313313,-0.508084,0.539846,0.101062,-0.264698,0.0667047,0.386706,-0.724692,0.364361,2.78064,0.184688,-1.51658,-1.48349,4.65401,1.44917,-6.57103,14.9981,4.31476
-0.313358,-0.508699,0.538878,0.0846324,-0.226749,0.0390199,0.28081,-0.481113,0.218423,2.79748,0.187644,-1.52268,-0.983124,3.90766,1.08641,-3.82589,10.292,2.3041
-0.313614,-0.509115,0.538255,0.066504,-0.187265,0.0203012,0.177234,-0.25855,0.128642,2.81449,0.18282,-1.52777,-0.531932,3.07942,0.776723,-1.58784,5.70766,0.761048
-0.313838,-0.509402,0.537604,0.0498118,-0.147518,0.00481184,0.0901827,-0.0642653,0.062666,2.83102,0.180035,-1.53001,-0.140613,2.32363,0.535942,0.130894,2.00745,-0.320302
-0.313906,-0.509694,0.536618,0.0359358,-0.109974,-0.0120623,0.0249185,0.0931252,-0.00363945,2.84612,0.187381,-1.52941,0.178668,1.76857,0.349083,1.35425,-0.349558,-1.05896
-0.31391,-0.508832,0.535503,0.023936,-0.0641938,-0.0281661,-0.0227232,0.250249,-0.0641867,2.86226,0.19039,-1.53743,0.45485,1.261,0.0921466,2.25745,-2.06594,-1.8976
-0.313859,-0.506333,0.534879,0.0142729,-0.00735468,-0.035545,-0.0532133,0.427647,-0.088907,2.87895,0.172777,-1.55832,0.682784,0.610115,-0.267551,2.896,-4.06704,-3.01512
-0.313826,-0.502998,0.534875,0.00659718,0.0496764,-0.0335315,-0.0706903,0.596821,-0.0779028,2.89863,0.128323,-1.58382,0.898386,-0.238117,-0.625641,3.45164,-6.65645,-4.0998
-0.313628,-0.50001,0.535461,0.00352902,0.0933276,-0.0241725,-0.0698213,0.715219,-0.0425142,2.91995,0.0722307,-1.60359,1.08962,-1.08428,-0.865739,3.915,-9.19427,-4.75687
-0.313063,-0.498586,0.53638,0.00683603,0.111789,-0.0124452,-0.0491807,0.746534,-0.00216745,2.93511,0.0314352,-1.60868,1.17882,-1.62557,-0.900201,4.0569,-10.6886,-4.69363
-0.312091,-0.498877,0.537182,0.0156132,0.107278,-0.00364243,-0.01504,0.700279,0.0279324,2.94148,0.0255745,-1.6022,1.15222,-1.69575,-0.788759,3.82312,-10.6222,-4.11085
-0.310634,-0.50058,0.537584,0.0294681,0.0864656,0.000712356,0.0301799,0.599489,0.0450042,2.94137,0.0553471,-1.58977,1.04631,-1.35542,-0.613168,3.31664,-9.17478,-3.29863
-0.308823,-0.503249,0.537541,0.0457695,0.0553544,0.000701236,0.0785926,0.463333,0.0463179,2.94148,0.10319,-1.57534,0.944363,-0.841682,-0.415567,2.80916,-7.06652,-2.40529
-0.307,-0.505592,0.537495,0.0603494,0.0275613,0.000976421,0.118957,0.334847,0.0432844,2.94679,0.139662,-1.56735,0.898941,-0.463295,-0.282482,2.4795,-5.24186,-1.72323
-0.305506,-0.506339,0.537938,0.0693427,0.0164216,0.00570631,0.139878,0.262204,0.0484111,2.9589,0.144272,-1.57344,0.924179,-0.409977,-0.295456,2.39735,-4.40522,-1.55623
-0.304436,-0.506259,0.539147,0.0718808,0.0131178,0.0165537,0.138728,0.228994,0.0696875,2.97192,0.13069,-1.58501,0.95564,-0.511872,-0.359171,2.39112,-4.2479,-1.67355
-0.303679,-0.506274,0.541494,0.0696123,0.00849186,0.0376333,0.121492,0.209415,0.124265,2.9763,0.125057,-1.59303,0.889918,-0.499206,-0.385021,2.13871,-4.04858,-1.79681
-0.303151,-0.506731,0.545103,0.0641582,0.00114309,0.0710372,0.0951791,0.195205,0.221362,2.96677,0.141969,-1.59753,0.672865,-0.241726,-0.389032,1.44093,-3.33243,-1.90654
-0.302797,-0.507675,0.549697,0.0567393,-0.0074955,0.113879,0.0649192,0.18303,0.350484,2.94541,0.18004,-1.60222,0.336748,0.199779,-0.422512,0.375183,-2.16989,-2.08977
-0.302652,-0.509068,0.554562,0.04736,-0.0166207,0.157815,0.0313882,0.16671,0.481904,2.92171,0.227007,-1.60881,-0.00445853,0.659786,-0.498904,-0.718791,-0.94351,-2.33328
-0.302829,-0.51032,0.559054,0.0349268,-0.0215263,0.195297,-0.00864766,0.151521,0.587397,2.9061,0.261663,-1.61733,-0.235865,0.911462,-0.599347,-1.47948,-0.223657,-2.54521
-0.303382,-0.510806,0.563417,0.0191375,-0.0170644,0.228049,-0.055907,0.151998,0.665108,2.89919,0.274957,-1.62859,-0.350004,0.875714,-0.71301,-1.82573,-0.260342,-2.69225
-0.30433,-0.510169,0.568102,0.000532348,-0.00250523,0.259947,-0.108175,0.171978,0.725226,2.89637,0.268233,-1.64296,-0.404124,0.625017,-0.819882,-1.91119,-0.836799,-2.7366
-0.305467,-0.508991,0.573333,-0.0180097,0.0135261,0.292186,-0.157571,0.194078,0.774509,2.89212,0.255653,-1.65497,-0.46289,0.365826,-0.855235,-1.93863,-1.40615,-2.57211
-0.306601,-0.508124,0.579014,-0.0340535,0.0221927,0.322324,-0.197545,0.200879,0.810959,2.88375,0.250901,-1.65836,-0.546267,0.25106,-0.768721,-1.98439,-1.60969,-2.12737
-0.307693,-0.507572,0.58463,-0.0474175,0.0246436,0.344079,-0.228078,0.196247,0.822893,2.87387,0.25631,-1.65581,-0.610844,0.265887,-0.604961,-1.95815,-1.53542,-1.52338
-0.308873,-0.506992,0.589503,-0.0597713,0.0265197,0.35129,-0.253923,0.196161,0.799038,2.86959,0.261279,-1.652,-0.579669,0.26141,-0.434006,-1.69869,-1.56289,-0.963949
-0.310215,-0.505841,0.593266,-0.0721028,0.0352977,0.342715,-0.278302,0.220233,0.738985,2.87612,0.257778,-1.65009,-0.413653,0.142794,-0.302159,-1.13126,-1.91222,-0.577905
-0.311742,-0.503686,0.596169,-0.0844459,0.0565151,0.323892,-0.301321,0.281631,0.657123,2.8931,0.239084,-1.65197,-0.142511,-0.139757,-0.238116,-0.340548,-2.66494,-0.435943
-0.313224,-0.499891,0.598745,-0.0944793,0.0952378,0.302844,-0.317735,0.387853,0.57382,2.91543,0.20819,-1.66115,0.15626,-0.535925,-0.275837,0.477288,-3.69744,-0.594359
-0.314581,-0.494946,0.60143,-0.101184,0.144977,0.285046,-0.323879,0.52147,0.501929,2.93623,0.176,-1.67558,0.401243,-0.912444,-0.391276,1.12448,-4.65115,-0.979235
